State,Date,Total Cases
Florida,Feb 19 2021,1826892
Florida,Feb 18 2021,1819817
Florida,Feb 17 2021,1813209
Florida,Feb 16 2021,1808187
Florida,Feb 15 2021,1801004
Florida,Feb 14 2021,1794338
Florida,Feb 13 2021,1790584
Florida,Feb 12 2021,1784918
Florida,Feb 11 2021,1777836
Florida,Feb 10 2021,1770393
Florida,Feb  9 2021,1762132
Florida,Feb  8 2021,1754709
Florida,Feb  7 2021,1747696
Florida,Feb  6 2021,1742172
Florida,Feb  5 2021,1735548
Florida,Feb  4 2021,1728209
Florida,Feb  3 2021,1717699
Florida,Feb  2 2021,1710200
Florida,Feb  1 2021,1703451
Florida,Jan 31 2021,1693169
Florida,Jan 30 2021,1687583
Florida,Jan 29 2021,1679944
Florida,Jan 28 2021,1665279
Florida,Jan 27 2021,1654449
Florida,Jan 26 2021,1643183
Florida,Jan 25 2021,1634962
Florida,Jan 24 2021,1625569
Florida,Jan 23 2021,1617027
Florida,Jan 22 2021,1607640
Florida,Jan 21 2021,1595590
Florida,Jan 20 2021,1582175
Florida,Jan 19 2021,1569532
Florida,Jan 18 2021,1557979
Florida,Jan 17 2021,1548403
Florida,Jan 16 2021,1540584
Florida,Jan 15 2021,1529801
Florida,Jan 14 2021,1517912
Florida,Jan 13 2021,1501421
Florida,Jan 12 2021,1488050
Florida,Jan 11 2021,1474393
Florida,Jan 10 2021,1459832
Florida,Jan  9 2021,1448256
Florida,Jan  8 2021,1436008
Florida,Jan  7 2021,1420992
Florida,Jan  6 2021,1401930
Florida,Jan  5 2021,1382541
Florida,Jan  4 2021,1365162
Florida,Jan  3 2021,1349988
Florida,Jan  2 2021,1338776
Florida,Jan  1 2021,1328354
Florida,Dec 31 2020,1318690
Florida,Dec 30 2020,1297744
Florida,Dec 29 2020,1281238
Florida,Dec 28 2020,1267827
Florida,Dec 27 2020,1255949
Florida,Dec 26 2020,1247942
Florida,Dec 25 2020,1240900
Florida,Dec 24 2020,1234981
Florida,Dec 23 2020,1224373
Florida,Dec 22 2020,1211548
Florida,Dec 21 2020,1200436
Florida,Dec 20 2020,1190255
Florida,Dec 19 2020,1179557
Florida,Dec 18 2020,1171404
Florida,Dec 17 2020,1160014
Florida,Dec 16 2020,1147094
Florida,Dec 15 2020,1134250
