State,Date,Total Cases
Florida,Feb 17 2021,1813248
Florida,Feb 16 2021,1808226
Florida,Feb 15 2021,1801043
Florida,Feb 14 2021,1794377
Florida,Feb 13 2021,1790623
Florida,Feb 12 2021,1784958
Florida,Feb 11 2021,1777876
Florida,Feb 10 2021,1770433
Florida,Feb  9 2021,1762172
Florida,Feb  8 2021,1754749
Florida,Feb  7 2021,1747737
Florida,Feb  6 2021,1742213
Florida,Feb  5 2021,1735590
Florida,Feb  4 2021,1728251
Florida,Feb  3 2021,1717741
Florida,Feb  2 2021,1710242
Florida,Feb  1 2021,1703494
Florida,Jan 31 2021,1693212
Florida,Jan 30 2021,1687626
Florida,Jan 29 2021,1679987
Florida,Jan 28 2021,1665324
Florida,Jan 27 2021,1654494
Florida,Jan 26 2021,1643228
Florida,Jan 25 2021,1635007
Florida,Jan 24 2021,1625614
Florida,Jan 23 2021,1617072
Florida,Jan 22 2021,1607685
Florida,Jan 21 2021,1595635
Florida,Jan 20 2021,1582223
Florida,Jan 19 2021,1569580
Florida,Jan 18 2021,1558028
Florida,Jan 17 2021,1548452
Florida,Jan 16 2021,1540633
Florida,Jan 15 2021,1529850
Florida,Jan 14 2021,1517961
Florida,Jan 13 2021,1501470
Florida,Jan 12 2021,1488099
Florida,Jan 11 2021,1474442
Florida,Jan 10 2021,1459882
Florida,Jan  9 2021,1448307
Florida,Jan  8 2021,1436060
Florida,Jan  7 2021,1421043
Florida,Jan  6 2021,1401981
Florida,Jan  5 2021,1382593
Florida,Jan  4 2021,1365214
Florida,Jan  3 2021,1350040
Florida,Jan  2 2021,1338829
Florida,Jan  1 2021,1328407
Florida,Dec 31 2020,1318743
Florida,Dec 30 2020,1297797
Florida,Dec 29 2020,1281291
Florida,Dec 28 2020,1267881
Florida,Dec 27 2020,1256003
Florida,Dec 26 2020,1247997
Florida,Dec 25 2020,1240955
Florida,Dec 24 2020,1235036
Florida,Dec 23 2020,1224428
Florida,Dec 22 2020,1211604
Florida,Dec 21 2020,1200493
Florida,Dec 20 2020,1190312
Florida,Dec 19 2020,1179614
Florida,Dec 18 2020,1171461
Florida,Dec 17 2020,1160071
Florida,Dec 16 2020,1147151
Florida,Dec 15 2020,1134310
Florida,Dec 14 2020,1123005
Florida,Dec 13 2020,1113602
Florida,Dec 12 2020,1105328
Florida,Dec 11 2020,1096491
Florida,Dec 10 2020,1086104
Florida,Dec  9 2020,1074730
Florida,Dec  8 2020,1063503
Florida,Dec  7 2020,1054148
Florida,Dec  6 2020,1046318
Florida,Dec  5 2020,1038801
Florida,Dec  4 2020,1030603
Florida,Dec  3 2020,1020439
Florida,Dec  2 2020,1010497
Florida,Dec  1 2020,999863
Florida,Nov 30 2020,989964
Florida,Nov 29 2020,981319
Florida,Nov 28 2020,974856
Florida,Nov 27 2020,967695
Florida,Nov 26 2020,961571
Florida,Nov 25 2020,954981
Florida,Nov 24 2020,944871
Florida,Nov 23 2020,936787
Florida,Nov 22 2020,928688
Florida,Nov 21 2020,922594
Florida,Nov 20 2020,916120
Florida,Nov 19 2020,907952
Florida,Nov 18 2020,899114
Florida,Nov 17 2020,890171
Florida,Nov 16 2020,882438
Florida,Nov 15 2020,875132
Florida,Nov 14 2020,870628
Florida,Nov 13 2020,860750
Florida,Nov 12 2020,856337
Florida,Nov 11 2020,849604
Florida,Nov 10 2020,844135
